timestamp,src_ip,src_port,dst_ip,dst_port,protocol,length,hdr_ip_len,hdr_tcp_len,ack_flag,init_window
2025-05-15 13:12:41.776312,17.248.195.74,443,192.168.10.201,57130,6,962,20,32,1,32256
2025-05-15 13:12:41.780937,192.168.10.201,57130,17.248.195.74,443,6,66,20,32,1,130176
2025-05-15 13:12:41.788828,192.168.10.201,57130,17.248.195.74,443,6,97,20,32,1,131072
2025-05-15 13:12:41.789108,192.168.10.201,57130,17.248.195.74,443,6,66,20,32,1,131072
2025-05-15 13:12:41.796886,192.168.10.201,57131,17.248.195.74,443,6,78,20,44,0,65535
2025-05-15 13:12:41.825539,17.248.195.74,443,192.168.10.201,57130,6,66,20,32,1,32256
2025-05-15 13:12:41.827294,17.248.195.74,443,192.168.10.201,57130,6,66,20,32,1,32256
2025-05-15 13:12:41.827295,17.248.195.74,443,192.168.10.201,57130,6,66,20,32,1,32256
2025-05-15 13:12:41.830951,192.168.10.201,57130,17.248.195.74,443,6,66,20,32,1,131072
2025-05-15 13:12:41.838725,17.248.195.74,443,192.168.10.201,57131,6,74,20,40,1,31856
2025-05-15 13:12:41.839162,192.168.10.201,57131,17.248.195.74,443,6,66,20,32,1,131712
2025-05-15 13:12:41.839164,192.168.10.201,57131,17.248.195.74,443,6,583,20,32,1,131712
2025-05-15 13:12:41.889204,17.248.195.74,443,192.168.10.201,57131,6,66,20,32,1,32256
2025-05-15 13:12:41.889205,17.248.195.74,443,192.168.10.201,57131,6,1514,20,32,1,32256
2025-05-15 13:12:41.889206,17.248.195.74,443,192.168.10.201,57131,6,1514,20,32,1,32256
2025-05-15 13:12:41.889206,17.248.195.74,443,192.168.10.201,57131,6,922,20,32,1,32256
2025-05-15 13:12:41.891717,192.168.10.201,57131,17.248.195.74,443,6,66,20,32,1,131072
2025-05-15 13:12:41.905086,192.168.10.201,57131,17.248.195.74,443,6,159,20,32,1,131072
2025-05-15 13:12:41.978284,17.248.195.74,443,192.168.10.201,57131,6,117,20,32,1,32256
2025-05-15 13:12:41.980893,192.168.10.201,57131,17.248.195.74,443,6,66,20,32,1,131008
2025-05-15 13:12:41.981408,192.168.10.201,57131,17.248.195.74,443,6,1365,20,32,1,131072
2025-05-15 13:12:41.981649,192.168.10.201,57131,17.248.195.74,443,6,355,20,32,1,131072
