Fwd Packet Length Max,Fwd Packet Length Min,Min Packet Length,Max Packet Length,Average Packet Size,Fwd Packets/s,Fwd Header Length,Fwd Header Length.1,min_seg_size_forward,Total Length of Fwd Packets,Fwd Packet Length Std,Flow IAT Min,Subflow Fwd Bytes,Destination Port,Protocol,Packet Length Std,Flow Duration,Fwd IAT Total,ACK Flag Count,Init_Win_bytes_forward,Flow IAT Mean,Flow IAT Max,Fwd IAT Mean,Fwd IAT Max
558.0,66.0,66.0,558.0,361.2,299.1316254920979,20.0,32.0,34.0,1806.0,241.02979068986474,1.1920928955078125e-06,1806.0,57123,6,241.02979068986474,0.016715049743652344,0.016715049743652344,5,10.0,0.004178762435913086,0.012187957763671875,0.004178762435913086,0.012187957763671875
522.0,66.0,66.0,522.0,218.0,63.33854824193149,20.0,32.0,34.0,1090.0,166.5076574815705,0.0007719993591308594,1090.0,853,6,166.5076574815705,0.07894086837768555,0.07894086837768555,5,2048.0,0.019735217094421387,0.06142687797546387,0.019735217094421387,0.06142687797546387
1466.0,66.0,66.0,1466.0,706.0,262.09485721427234,20.0,33.6,34.0,3530.0,636.5104869521005,0.0,3530.0,57129,6,636.5104869521005,0.019077062606811523,0.019077062606811523,5,65535.0,0.004769265651702881,0.016618013381958008,0.004769265651702881,0.016618013381958008
583.0,66.0,66.0,583.0,184.6,46.092670983283,20.0,34.4,34.0,923.0,200.59870388414774,1.9073486328125e-06,923.0,443,6,200.59870388414774,0.10847711563110352,0.10847711563110352,4,65535.0,0.02711927890777588,0.06378006935119629,0.02711927890777588,0.06378006935119629
1514.0,66.0,66.0,1514.0,817.8,56.89645162253012,20.0,33.6,34.0,4089.0,647.8396097800751,9.5367431640625e-07,4089.0,57130,6,647.8396097800751,0.08787894248962402,0.08787894248962402,5,31856.0,0.021969735622406006,0.08605098724365234,0.021969735622406006,0.08605098724365234
582.0,66.0,66.0,582.0,175.4,38.9292900792266,20.0,32.0,34.0,877.0,203.65421674986257,6.794929504394531e-05,877.0,443,6,203.65421674986257,0.12843799591064453,0.12843799591064453,5,131072.0,0.03210949897766113,0.10417413711547852,0.03210949897766113,0.10417413711547852
583.0,66.0,66.0,583.0,190.4,20.532876166456,20.0,34.4,34.0,952.0,199.35154877753018,1.9073486328125e-06,952.0,443,6,199.35154877753018,0.24351191520690918,0.24351191520690918,4,65535.0,0.060877978801727295,0.11631608009338379,0.060877978801727295,0.11631608009338379
680.0,66.0,66.0,680.0,277.8,35.62192874432035,20.0,32.0,34.0,1389.0,254.97325349926413,0.0015408992767333984,1389.0,57129,6,254.97325349926413,0.14036297798156738,0.14036297798156738,5,268800.0,0.035090744495391846,0.10246706008911133,0.035090744495391846,0.10246706008911133
105.0,66.0,66.0,105.0,86.4,110.45839280729383,20.0,32.0,34.0,432.0,17.53396703544295,0.00021600723266601562,432.0,443,6,17.53396703544295,0.045265913009643555,0.045265913009643555,5,131072.0,0.011316478252410889,0.03041386604309082,0.011316478252410889,0.03041386604309082
1241.0,66.0,66.0,1241.0,307.2,50.130803947066475,20.0,32.0,34.0,1536.0,467.05434373314625,0.00028014183044433594,1536.0,443,6,467.05434373314625,0.09973907470703125,0.09973907470703125,5,131008.0,0.024934768676757812,0.09108686447143555,0.024934768676757812,0.09108686447143555
962.0,66.0,66.0,962.0,255.4,36.07525540702565,20.0,32.0,34.0,1277.0,353.8517203575532,0.0017549991607666016,1277.0,57130,6,353.8517203575532,0.13859915733337402,0.13859915733337402,5,32256.0,0.034649789333343506,0.0820150375366211,0.034649789333343506,0.0820150375366211
1514.0,66.0,66.0,1514.0,818.0,99.04747511004477,20.0,33.6,34.0,4090.0,647.871592215618,0.0,4090.0,57131,6,647.871592215618,0.05048084259033203,0.05048084259033203,5,31856.0,0.012620210647583008,0.05047893524169922,0.012620210647583008,0.05047893524169922
583.0,66.0,66.0,583.0,190.4,46.210689606543504,20.0,34.4,34.0,952.0,199.35154877753018,1.9073486328125e-06,952.0,443,6,199.35154877753018,0.1082000732421875,0.1082000732421875,4,65535.0,0.027050018310546875,0.05255293846130371,0.027050018310546875,0.05255293846130371
1365.0,66.0,66.0,1365.0,389.8,48.791855119399926,20.0,32.0,34.0,1949.0,499.5299390426964,0.00024080276489257812,1949.0,443,6,499.5299390426964,0.10247611999511719,0.10247611999511719,5,131008.0,0.025619029998779297,0.09883904457092285,0.025619029998779297,0.09883904457092285
1318.0,66.0,66.0,1318.0,326.6,33.03491176364029,20.0,32.0,34.0,1633.0,496.0933783069474,0.0,1633.0,57131,6,496.0933783069474,0.15135502815246582,0.15135502815246582,5,32256.0,0.037838757038116455,0.056990861892700195,0.037838757038116455,0.056990861892700195
1514.0,66.0,66.0,1514.0,818.0,110.73953014357605,20.0,33.6,34.0,4090.0,647.871592215618,0.0,4090.0,57132,6,647.871592215618,0.0451509952545166,0.0451509952545166,5,31856.0,0.01128774881362915,0.0432581901550293,0.01128774881362915,0.0432581901550293
583.0,66.0,66.0,583.0,190.4,49.179740447346084,20.0,34.4,34.0,952.0,199.35154877753018,2.1457672119140625e-06,952.0,443,6,199.35154877753018,0.10166788101196289,0.10166788101196289,4,65535.0,0.025416970252990723,0.04597282409667969,0.025416970252990723,0.04597282409667969
1367.0,66.0,66.0,1367.0,414.6,13.836422715951638,20.0,32.0,34.0,2073.0,500.97369192403704,0.00022983551025390625,2073.0,443,6,500.97369192403704,0.36136507987976074,0.36136507987976074,5,131008.0,0.09034126996994019,0.3569619655609131,0.09034126996994019,0.3569619655609131
1514.0,66.0,66.0,1514.0,468.6,12.350012985123936,20.0,32.0,34.0,2343.0,557.3270494063607,1.1920928955078125e-06,2343.0,57132,6,557.3270494063607,0.404857873916626,0.404857873916626,5,32256.0,0.1012144684791565,0.3121349811553955,0.1012144684791565,0.3121349811553955
1514.0,66.0,66.0,1514.0,817.8,103.86362510771913,20.0,33.6,34.0,4089.0,647.8396097800751,9.5367431640625e-07,4089.0,57133,6,647.8396097800751,0.04814004898071289,0.04814004898071289,5,31856.0,0.012035012245178223,0.044612884521484375,0.012035012245178223,0.044612884521484375
583.0,66.0,66.0,583.0,171.8,54.079160789390215,20.0,34.4,34.0,859.0,205.65252247419676,1.9073486328125e-06,859.0,443,6,205.65252247419676,0.09245705604553223,0.09245705604553223,4,65535.0,0.023114264011383057,0.046224117279052734,0.023114264011383057,0.046224117279052734
1370.0,66.0,66.0,1370.0,391.8,38.87444667709669,20.0,32.0,34.0,1959.0,496.4193388658424,0.00023698806762695312,1959.0,443,6,496.4193388658424,0.12861919403076172,0.12861919403076172,5,131072.0,0.03215479850769043,0.08368515968322754,0.03215479850769043,0.08368515968322754
945.0,66.0,66.0,945.0,252.0,37.820936167143074,20.0,32.0,34.0,1260.0,347.06253038897756,0.0018489360809326172,1260.0,57133,6,347.06253038897756,0.1322019100189209,0.1322019100189209,5,32256.0,0.033050477504730225,0.04516410827636719,0.033050477504730225,0.04516410827636719
1494.0,105.0,105.0,1494.0,934.4,45889.540481400436,20.0,32.0,73.0,4672.0,658.6369561450375,1.9073486328125e-06,4672.0,443,6,658.6369561450375,0.00010895729064941406,0.00010895729064941406,5,2048.0,2.7239322662353516e-05,6.008148193359375e-05,2.7239322662353516e-05,6.008148193359375e-05
1494.0,66.0,66.0,1494.0,421.4,192.6998070385004,20.0,32.0,34.0,2107.0,548.6819114933533,9.5367431640625e-07,2107.0,52716,6,548.6819114933533,0.025947093963623047,0.025947093963623047,5,234.0,0.006486773490905762,0.025584936141967773,0.006486773490905762,0.025584936141967773
1427.0,66.0,66.0,1427.0,362.4,1.5389270045970003,20.0,32.0,34.0,1812.0,533.2311318743496,0.0007419586181640625,1812.0,443,6,533.2311318743496,3.2490170001983643,3.2490170001983643,5,2047.0,0.8122542500495911,3.222337007522583,0.8122542500495911,3.222337007522583
97.0,66.0,66.0,97.0,74.6,1.5413598379991673,20.0,34.4,34.0,373.0,12.126005112979296,9.5367431640625e-07,373.0,52716,6,12.126005112979296,3.2438888549804688,3.2438888549804688,5,251.0,0.8109722137451172,3.22945499420166,0.8109722137451172,3.22945499420166
1494.0,66.0,66.0,1494.0,413.8,196.65716429107277,20.0,32.0,34.0,2069.0,553.3680149773747,0.0,2069.0,52716,6,553.3680149773747,0.025424957275390625,0.025424957275390625,5,262.0,0.006356239318847656,0.025423049926757812,0.006356239318847656,0.025423049926757812
1494.0,66.0,66.0,1494.0,1047.2,103.89604213008606,20.0,32.0,34.0,5236.0,581.4926998681926,1.1920928955078125e-06,5236.0,443,6,581.4926998681926,0.04812502861022949,0.04812502861022949,5,2048.0,0.012031257152557373,0.04812002182006836,0.012031257152557373,0.04812002182006836
90.0,66.0,66.0,90.0,70.8,0.49641420582880597,20.0,32.0,34.0,354.0,9.6,0.00042891502380371094,354.0,853,6,9.6,10.07223391532898,10.07223391532898,5,2040.0,2.518058478832245,10.045737981796265,2.518058478832245,10.045737981796265
